标题,详情页,发布时间,up博主,图片,观看次数
双人沐浴戏份拍摄细节公开：姐姐太会撩，妹妹直言犯规了！【小姐｜金泰梨x金敏喜】,https://www.bilibili.com/video/BV17Z4y1R7PV?from=search&seid=5863496999586041683,2022-02-13,追剧上头的亚里士缺德,https://i0.hdslb.com/bfs/archive/d5dc4498c453aa0911fffbf01070b5b88f78d836.jpg@400w_250h_1c.webp,3.2万
《二十五二十一》幕后花絮：金泰梨被南柱赫抱着熟睡还以為在拍广告,https://www.bilibili.com/video/BV1TY4y187hy?from=search&seid=5863496999586041683,2022-04-22,欧阳学姐oOY,https://i2.hdslb.com/bfs/archive/a47f2ccc345bdccaea423ae1c6d0ce8a14d95b7f.jpg@400w_250h_1c.webp,5565
拜托！！这可是拿过青龙奖的姬圈天菜金泰梨！长得不像韩国人，五官又大气又精致，怎么会有人觉得她不好看？,https://www.bilibili.com/video/BV1ka411b7m9?from=search&seid=7932638697849884698,2022-03-12,春藏愚,https://i0.hdslb.com/bfs/archive/a8f77d11c9f6fd3dc3d4e4b981624880dc820ce1.jpg@400w_250h_1c.webp,2.5万
【金泰梨】救命！！！她是怎么做到又可爱又搞笑的～,https://www.bilibili.com/video/BV1uP4y1A7GH?from=search&seid=7932638697849884698,2022-02-20,8级心动,https://i0.hdslb.com/bfs/archive/1d49c46133a7e2c8ea225d493fad04ef01111358.jpg@400w_250h_1c.webp,4.6万
【金泰梨】我们泰梨的饮食偏好合集！,https://www.bilibili.com/video/BV1iY4y1Y7oX?from=search&seid=7932638697849884698,2022-04-29,给我一个肉丸子,https://i0.hdslb.com/bfs/archive/80b6a1036ceef839cde7ff6f58d06de66dcb045b.jpg@400w_250h_1c.webp,4.1万
【二十五二十一】白易辰吃醋和躲亲亲这两的花絮也太搞笑了吧【金泰梨x南柱赫】,https://www.bilibili.com/video/BV1s5411S7rV?from=search&seid=7932638697849884698,2022-03-30,四耶知秋,https://i1.hdslb.com/bfs/archive/cfb3cc58213f8708cfc8f760912a851ec0ddf632.jpg@400w_250h_1c.webp,2.6万
中文超清｜58届百想最佳演技奖【金泰梨】｜二十五二十一,https://www.bilibili.com/video/BV19R4y1w7Tg?from=search&seid=7932638697849884698,2022-05-06,给我一个肉丸子,https://i0.hdslb.com/bfs/archive/c5f952ef0d80acf2b266deec95b70e67e1d1fedb.jpg@400w_250h_1c.webp,3.2万
金泰梨的西装有多绝，就是一整个的爱住！,https://www.bilibili.com/video/BV1nS4y1a7Hw?from=search&seid=7932638697849884698,2022-04-24,哈奔儿一个,https://i1.hdslb.com/bfs/archive/9b9a3b5737a8e33a5f7d25f13e7ef46c0631661b.jpg@400w_250h_1c.webp,4326
金泰梨这女人也太帅了吧！啥也不说了看视频吧，绝绝子!,https://www.bilibili.com/video/BV1q44y1G7Wo?from=search&seid=7932638697849884698,2022-04-23,九妹说事儿,https://i1.hdslb.com/bfs/archive/92b203a0125cd3e9c2fcde18607cef90ce177afe.jpg@400w_250h_1c.webp,6279
【苞娜X高宥琳】金泰梨姐姐说的都是真的，她真的很完美,https://www.bilibili.com/video/BV1JT4y1v7QK?from=search&seid=7932638697849884698,2022-04-04,Autistic阿东,https://i2.hdslb.com/bfs/archive/87b67dd20859e4fb6e466337542860c03372e51e.jpg@400w_250h_1c.webp,5759
【金泰梨】笑si了，这睡觉的状态不就是我本人吗(｡&gt;∀&lt;｡),https://www.bilibili.com/video/BV1C34y177ih?from=search&seid=7932638697849884698,2022-05-15,哈奔儿一个,https://i1.hdslb.com/bfs/archive/4a59652d24060d0460f1dbd836c96a0e004ebb9b.jpg@400w_250h_1c.webp,1.4万
“我 们 相 遇 在 蝉 鸣 的 盛 夏”‖罗希度×白易辰‖金泰梨×南柱赫《二十五二十一》,https://www.bilibili.com/video/BV1Ga411C7bi?from=search&seid=7932638697849884698,2022-02-22,Suzyuuuuuu,https://i1.hdslb.com/bfs/archive/8a7f10f50fcddfba78da1bf8256902c58078c382.jpg@400w_250h_1c.webp,3.4万
【中字】韩国电影《小姐》访谈直播（朴赞郁金敏喜金泰梨河正宇赵震雄）（The handmaiden）,https://www.bilibili.com/video/BV1PW41197J4?from=search&seid=7932638697849884698,2018-08-19,August_Joey,https://i1.hdslb.com/bfs/archive/7081837fe214e0e67550d46823ee0b35bf2f793f.png@400w_250h_1c.webp,8.2万
【金泰梨】姐姐的水感觉很好喝～可以分我一口吗，我还可以帮你捏捏脖子～,https://www.bilibili.com/video/BV15541117ed?from=search&seid=7932638697849884698,2022-04-24,哈奔儿一个,https://i2.hdslb.com/bfs/archive/4009a502822504722bf801049f5557b3e16d478c.jpg@400w_250h_1c.webp,2848
（第二篇）【金泰梨】你能不能不要这么实在！笑拉了~,https://www.bilibili.com/video/BV1gu411C7bd?from=search&seid=7932638697849884698,2022-04-28,哈奔儿一个,https://i1.hdslb.com/bfs/archive/08e8fa803bb92426eaec719e954ed2e6c373fdcb.jpg@400w_250h_1c.webp,2.1万
【橘里橘气·姬】我的错误是吻了一个女孩子，金泰梨作品文英,https://www.bilibili.com/video/BV1K7411P7gQ?from=search&seid=7932638697849884698,2020-02-20,竹富圣花的小红帽,https://i2.hdslb.com/bfs/archive/5e45b4dabe71c384e2e51c746a645715467c4a2b.jpg@400w_250h_1c.webp,3.8万
【金泰梨 - 港风美女】获封「忠武路仙度瑞拉」，灵气十足的时代剧女神｜韩剧《二十五，二十一》《阳光先生》｜电影《下女的诱惑》《小森林》《胜利号》｜演员的故事,https://www.bilibili.com/video/BV1xT4y1X7Py?from=search&seid=7932638697849884698,2022-02-13,JxY名人速食包,https://i0.hdslb.com/bfs/archive/c9ee87a35d0d7d07989eab111a22ec1d1906f489.jpg@400w_250h_1c.webp,1.9万
《小姐》爱豆版：智妍是金敏喜的话，金泰梨是孝敏吗？,https://www.bilibili.com/video/BV1w4411r78b?from=search&seid=7932638697849884698,2019-08-27,卧槽人都疯了么,https://i2.hdslb.com/bfs/archive/80483c053ae3f52aa3780f8cf0359cf1089387aa.jpg@400w_250h_1c.webp,3.7万
“以后我们成为彼此的光吧”▸▸𝙏𝙬𝙚𝙣𝙩𝙮𝙛𝙞𝙫𝙚𝙏𝙬𝙚𝙣𝙩𝙮𝙤𝙣𝙚 南柱赫✘金泰梨,https://www.bilibili.com/video/BV1f3411W7zc?from=search&seid=7932638697849884698,2022-03-17,焄染,https://i2.hdslb.com/bfs/archive/84aa41a49baff1d95ee881ac0a7c60866da002d2.jpg@400w_250h_1c.webp,4172
少时双忙内百想后台遇见了姐夫郑敬淏！咳咳咳徐贤和允儿也太开心了吧！蹦蹦跳跳一直拍手！ps：还有一秒闪过的新百想视后金泰梨，接电话气势真的很罗希度！,https://www.bilibili.com/video/BV1vZ4y1h7p3?from=search&seid=7932638697849884698,2022-05-07,致忘记诗的你,https://i1.hdslb.com/bfs/archive/5101406db694769e3b647cec4c2af3b82be6cd30.jpg@400w_250h_1c.webp,2.4万
盯姐狂魔，你看够了吗？你看她的眼神，实在算不上清白哈哈哈！【小姐｜大小金｜金泰梨x金敏喜】,https://www.bilibili.com/video/BV1im4y1o7iw?from=search&seid=7932638697849884698,2022-02-01,追剧上头的亚里士缺德,https://i0.hdslb.com/bfs/archive/2482fc502a830eca0396d4fdfe10ed8f6d8aa8b4.jpg@400w_250h_1c.webp,8.4万
【大小金】【金敏喜&金泰梨】我磕cp都磕真人,https://www.bilibili.com/video/BV1Q64y1D7Cx?from=search&seid=7932638697849884698,2021-03-28,小白不失眠,https://i0.hdslb.com/bfs/archive/9585690ff4ddd3561c7cb0bb111dde4c7f559297.jpg@400w_250h_1c.webp,50.7万
【群英荟萃】第58届百想艺术大赏女明星红毯+获奖合集（林允儿、裴秀智、金泰梨、徐贤…）,https://www.bilibili.com/video/BV12B4y11731?from=search&seid=12805893433765709433,2022-05-06,嗑糖少女000,https://i0.hdslb.com/bfs/archive/00a67db80d5472c602279772f2bf679dedb23604.jpg@400w_250h_1c.webp,3.7万
“你在外面还有多少女人？”今天不解释清楚跟你没完哈哈哈……【二十五二十一/金泰梨x苞娜】,https://www.bilibili.com/video/BV1bZ4y1k7gS?from=search&seid=12805893433765709433,2022-02-26,追剧上头的亚里士缺德,https://i1.hdslb.com/bfs/archive/fa659b0488a1b7af918b038896a3a7c621a0564b.jpg@400w_250h_1c.webp,3.1万
【金泰梨×南柱赫】瞄来瞄去什么的 最好磕了！！！,https://www.bilibili.com/video/BV1x44y1V7xG?from=search&seid=12805893433765709433,2022-04-05,OooHui_,https://i2.hdslb.com/bfs/archive/ae98c111d51d1cc94b9b958d5c678c5cb55dfe8a.jpg@400w_250h_1c.webp,3.8万
哦莫！前方搞笑女金泰梨出没！ (‵▽′)/,https://www.bilibili.com/video/BV1hr4y1b72m?from=search&seid=12805893433765709433,2022-05-15,哈奔儿一个,https://i1.hdslb.com/bfs/archive/3b9d3c2f3612eb7d24932043f4755a1fbd095fda.jpg@400w_250h_1c.webp,3378
【金泰梨】一句“晚安”就让泰梨害羞的手舞足蹈的，我真的被可爱到了,https://www.bilibili.com/video/BV1Su411k7Tp?from=search&seid=12805893433765709433,2022-04-26,哈奔儿一个,https://i2.hdslb.com/bfs/archive/e76fb0449885569c424535aa20521eeae7163d82.jpg@400w_250h_1c.webp,9182
演技超好的气质型韩国女演员金泰梨，看不出来她竟然有三十岁了,https://www.bilibili.com/video/BV1b64y1F7jg?from=search&seid=12805893433765709433,2020-09-06,萌德-,https://i1.hdslb.com/bfs/archive/a5de647fdf89e34bf3fc7681129af067154d5969.jpg@400w_250h_1c.webp,3.4万
谈个恋爱却连姐姐的手都牵不到，年下逐渐暴走失控！想牵个手怎么这么难啊哈哈哈……【二十五二十一｜金泰梨x苞娜｜罗希度x高宥琳】,https://www.bilibili.com/video/BV12S4y1U7Ke?from=search&seid=12805893433765709433,2022-03-26,追剧上头的亚里士缺德,https://i0.hdslb.com/bfs/archive/9c793bbd351c9558e3b22d54db621295e24869d4.jpg@400w_250h_1c.webp,9.6万
《二十五二十一》告诉你关于南柱赫金泰梨的25个有意思的事实-配韩文讲解,https://www.bilibili.com/video/BV1wu411Q7u8?from=search&seid=12805893433765709433,2022-03-08,辛奇韩语砖家,https://i1.hdslb.com/bfs/archive/186803b6361471db302d04ea887cad6c40bd04ea.jpg@400w_250h_1c.webp,8.4万
【生贺】演员金泰梨，未来可期 | 金泰梨7部作品混剪,https://www.bilibili.com/video/BV1dF411M74A?from=search&seid=12805893433765709433,2022-04-24,TTSUSTT,https://i2.hdslb.com/bfs/archive/6414b7797a36f125661d82ec4072d4217720d31c.jpg@400w_250h_1c.webp,2915
南柱赫x金泰梨  戏内年下 戏外年上欧尼 磕死我了！！！,https://www.bilibili.com/video/BV1qu411v7i7?from=search&seid=12805893433765709433,2022-03-30,拉拉啦ll,https://i1.hdslb.com/bfs/archive/006ff6938ccb56678e8f125fa635d21d269f38dc.jpg@400w_250h_1c.webp,10.7万
戏内演兄妹，戏外年上四岁姐姐x大型犬弟弟，这对也太好嗑了吧！｜南柱赫x金泰梨｜二十五二十一,https://www.bilibili.com/video/BV1xZ4y1B7Mu?from=search&seid=12805893433765709433,2022-03-26,画圈圈的小水晶,https://i2.hdslb.com/bfs/archive/ef947fdc88b66059f8b00de66cd81c742e3a1c6d.jpg@400w_250h_1c.webp,3.1万
160531 小姐  金敏喜 金泰梨,https://www.bilibili.com/video/BV1Ts411h7Ek?from=search&seid=12805893433765709433,2017-01-11,马达大大滴,https://i0.hdslb.com/bfs/archive/e45c638d6eb0cb5a43cd8c5d2d2b00cc01400284.jpg@400w_250h_1c.webp,3.0万
【金泰梨】怎么可以拥有六块腹肌～,https://www.bilibili.com/video/BV1JY4y1a7fe?from=search&seid=12805893433765709433,2022-04-19,哈奔儿一个,https://i2.hdslb.com/bfs/archive/f20268b4ddf45614f9c2be66b9a7c3dd88add924.jpg@400w_250h_1c.webp,1.8万
【二十五二十一】花絮合集&各种宣传采访~金泰梨&南柱赫&苞娜&崔显旭&李周明,https://www.bilibili.com/video/BV1Eu411Q7so?from=search&seid=12805893433765709433,2022-03-06,Nice0510,https://i2.hdslb.com/bfs/archive/c31f22c408d739ecf5c4eba02ea351efa0b25d11.jpg@400w_250h_1c.webp,4.3万
“她是来粉碎我生活的救星，我的珠子，我的淑姬”｜下女的诱惑｜小姐｜金敏喜｜金泰梨｜4K高清,https://www.bilibili.com/video/BV1Mw411Z7tp?from=search&seid=12805893433765709433,2021-07-02,盐味汤圆儿,https://i1.hdslb.com/bfs/archive/6c2d1bafcb107208f2648d61a7ffc0363e4771b0.jpg@400w_250h_1c.webp,7.2万
【金泰梨】咬手指我可以～（达咩涩涩～）,https://www.bilibili.com/video/BV1154y1Z7o8?from=search&seid=12805893433765709433,2022-05-17,哈奔儿一个,https://i1.hdslb.com/bfs/archive/134882746b4ee6b3a4a618514326b3582509c1e7.jpg@400w_250h_1c.webp,1227
大四岁的白易辰果然什么都懂，暗搓搓的和老婆穿情侣脱鞋|南柱赫×金泰梨|二十五二十一,https://www.bilibili.com/video/BV1DR4y1G7nZ?from=search&seid=12805893433765709433,2022-03-06,澜烟知己,https://i1.hdslb.com/bfs/archive/1db323afdc0018c134ffab503659b7f7015f4074.jpg@400w_250h_1c.webp,2.5万
“ 曾 经 我 也 因 为 停 滞 不 前 而 焦 虑 得 发 疯 ”｜罗希度成长向｜金泰梨 二十五二十一,https://www.bilibili.com/video/BV1FF411t7FD?from=search&seid=12805893433765709433,2022-03-12,hhhhmsx,https://i1.hdslb.com/bfs/archive/5d81cc776df81b122e2194f4fdfc37eb75be6b03.jpg@400w_250h_1c.webp,14.4万
第58届百想艺术大赏 金泰梨 粉丝好疯狂,https://www.bilibili.com/video/BV1bU4y1U7tC?from=search&seid=12805893433765709433,2022-05-06,享人生看好剧,https://i1.hdslb.com/bfs/archive/4c05d16d34d20919daec5b111924ae8fba319667.jpg@400w_250h_1c.webp,7840
2521南柱赫澄清挂掉谣言｜最近很多人问我怎么挂掉了｜白易辰X罗希度  | 南柱赫X金泰梨｜二十五二十一,https://www.bilibili.com/video/BV1bu411i7wS?from=search&seid=12805893433765709433,2022-03-31,泠鹿,https://i0.hdslb.com/bfs/archive/9ddb808a179d178ea16047d02e114d71a93c562a.jpg@400w_250h_1c.webp,1.7万
没 有 人 能 拒 绝 鬼 马 少 女 !【二十五二十一】,https://www.bilibili.com/video/BV1s34y1C7Qd?from=search&seid=948365161317050647,2022-02-15,TakKiongSuong,https://i1.hdslb.com/bfs/archive/898a1fafdcfe5eaf42a128c9833fcbb01c35678d.jpg@400w_250h_1c.webp,19.9万
是双向奔赴啊！眼里除了对方，看不到别人！她赠她独一无二的童话，她还给她满怀热忱的鲜花……这种双向的互动太戳我了鸭！！【小姐｜金泰梨x金敏喜】,https://www.bilibili.com/video/BV19P4y1A71X?from=search&seid=948365161317050647,2022-02-08,追剧上头的亚里士缺德,https://i0.hdslb.com/bfs/archive/0b8eddb11f0a48516e93147ef45865d05f68b5df.jpg@400w_250h_1c.webp,1.7万
我也不想嗑啊，可是她俩都姬里姬气的诶！！【金泰梨×金知妍】,https://www.bilibili.com/video/BV1cS4y1V7Pd?from=search&seid=948365161317050647,2022-02-14,xixixu_,https://i1.hdslb.com/bfs/archive/2a2fa4c53ebd9f010a80f9aadd3c82d13ce932d0.jpg@400w_250h_1c.webp,11.9万
金泰梨的追星信条,https://www.bilibili.com/video/BV1sL4y177JH?from=search&seid=948365161317050647,2022-03-23,星晨大海春暖花开,https://i0.hdslb.com/bfs/archive/93bc9f60bd0b3e16c999cdd0e882dfcdedfd0159.jpg@400w_250h_1c.webp,2.2万
九敏她怎么这么好笑！干啥啥不行，怼人第一名哈哈哈哈哈！直播采访憨憨发言我真的笑不活了！【一笑悬命｜金泰梨】,https://www.bilibili.com/video/BV1cS4y1K7Wu?from=search&seid=948365161317050647,2022-04-03,追剧上头的亚里士缺德,https://i1.hdslb.com/bfs/archive/cd6aea348789a55cb514b6cb64694c69088842b5.jpg@400w_250h_1c.webp,3.8万
【金泰梨×南柱赫】救命，他俩真的好可爱,https://www.bilibili.com/video/BV1JS4y167y1?from=search&seid=948365161317050647,2022-03-03,噜啦啦成为宇宙的风,https://i2.hdslb.com/bfs/archive/f5e6125a0b1d96973a13860b2e50b88fcd1f4ba1.jpg@400w_250h_1c.webp,1.8万
【金泰梨/金知妍】看小姐的人和拍小姐的人一起合作了,https://www.bilibili.com/video/BV1Nu411z7SA?from=search&seid=948365161317050647,2022-03-14,布宜诺斯艾利斯的光,https://i2.hdslb.com/bfs/archive/2d099d213f38f7f1edf52689e3c65f0f09d2b8df.jpg@400w_250h_1c.webp,5.1万
【金泰梨 | 梨花殿中字】《二十五二十一》金泰梨南柱赫 读新闻三则合集,https://www.bilibili.com/video/BV1YZ4y1C7EH?from=search&seid=948365161317050647,2022-04-27,梨花殿-金泰梨园,https://i2.hdslb.com/bfs/archive/433a80f44ae5539df9c3cc166db3ec2a6f8e7e6e.jpg@400w_250h_1c.webp,2.1万
必看！金泰梨和金多美的《爱 狗 守 则 》！,https://www.bilibili.com/video/BV1RT4y1h7dv?from=search&seid=948365161317050647,2022-04-16,OhomeleT,https://i2.hdslb.com/bfs/archive/57f41d168c6f657ee436220df2cb2111fe1c6c17.jpg@400w_250h_1c.webp,6568
《论工作日必须看元气搞笑甜妹的这件事》【罗希度|金泰梨|二十五二十一】,https://www.bilibili.com/video/BV1kS4y1u7xN?from=search&seid=948365161317050647,2022-03-16,mue0901,https://i2.hdslb.com/bfs/archive/281f2fb1f512ee4b709d5f6dc302e403b423869a.jpg@400w_250h_1c.webp,1.4万
Trouble Maker【南柱赫x金泰梨】啊啊啊啊啊啊求求了两人再合作一部剧吧！,https://www.bilibili.com/video/BV1XB4y1C7hf?from=search&seid=948365161317050647,2022-05-08,给我一个肉丸子,https://i1.hdslb.com/bfs/archive/125e454106fbfe212f53be3e9e3a80b08aafdd69.jpg@400w_250h_1c.webp,1896
【金泰梨x南柱赫】戏外吵吵闹闹的两人，太有cp感了吧！又磕到了！,https://www.bilibili.com/video/BV1SZ4y167e4?from=search&seid=948365161317050647,2022-03-02,噜啦啦成为宇宙的风,https://i2.hdslb.com/bfs/archive/72f4f2dcfa7d2722289a2e98754519493cd3472f.jpg@400w_250h_1c.webp,16.0万
【阳光先生】【金泰梨·李秉宪】这段也太甜了太可爱了吧！整本书都是写的男主的名字，小枪估计做梦都要笑醒了哈哈哈～咸安式也好可爱！～宥镇崔～wuli爱信啊没想到啊,https://www.bilibili.com/video/BV1D44y1P7H3?from=search&seid=948365161317050647,2022-04-05,马林贰,https://i0.hdslb.com/bfs/archive/037c20e2bb2a4e8718cad6ef0b511a932154dcc9.jpg@400w_250h_1c.webp,8611
【金泰梨x南柱赫】《关于我们很默契这件事》脑电波同频的小情侣,https://www.bilibili.com/video/BV1sY4y1W7Mw?from=search&seid=948365161317050647,2022-04-05,北岛oo,https://i0.hdslb.com/bfs/archive/0e41693a0102df8655f8aacd7912f0997d533d2f.jpg@400w_250h_1c.webp,2.1万
【金泰梨||2521】1-16集 罗希度眼神*语气变化,https://www.bilibili.com/video/BV1dT4y1r7HJ?from=search&seid=948365161317050647,2022-04-29,给我一个肉丸子,https://i0.hdslb.com/bfs/archive/312a5a676a3731af56cf75b04dca6c427f5d69d9.jpg@400w_250h_1c.webp,5681
【未公开花絮】电影&lt;小姐&gt;&#39;The Handmaiden&#39;BD花絮剪辑无字（朴赞郁金敏喜金泰梨河正宇赵震雄）,https://www.bilibili.com/video/BV1qt411o7Xx?from=search&seid=948365161317050647,2018-10-20,August_Joey,https://i0.hdslb.com/bfs/archive/696cabd9b030ff9d93272d452a2bd0cb5316d5f1.jpg@400w_250h_1c.webp,3.5万
她好像说了什么，又好像什么都没说哈哈哈！她的直播和采访真的看一遍笑一遍！【一笑悬命｜金泰梨】,https://www.bilibili.com/video/BV1K3411n728?from=search&seid=948365161317050647,2022-04-08,追剧上头的亚里士缺德,https://i2.hdslb.com/bfs/archive/53ca683aff2aeaba1d7c1e29f492ab7943b07b83.jpg@400w_250h_1c.webp,3.2万
谁说她比不上南柱赫的，拜托那可是电影咖金泰梨！,https://www.bilibili.com/video/BV1ES4y1a78o?from=search&seid=948365161317050647,2022-04-21,づ恍如隔世,https://i2.hdslb.com/bfs/archive/67b5bbeb909d12bde7295e714c82806778c5de4d.jpg@400w_250h_1c.webp,3.7万
“姐姐，你看我们多有默契，像是命定的灵魂伴侣。”【小姐｜大小金｜金泰梨x金敏喜】,https://www.bilibili.com/video/BV1VA4y1Z7Vp?from=search&seid=948365161317050647,2022-05-21,追剧上头的亚里士缺德,https://i1.hdslb.com/bfs/archive/5d4a8e0ab4b914705c2a62127759ffe216fa0a2a.jpg@400w_250h_1c.webp,6928
50s长吻“能和你做的我都会做 做好觉悟吧”【南柱赫×金泰梨 二十五二十一】,https://www.bilibili.com/video/BV1F44y1K7o5?from=search&seid=948365161317050647,2022-03-26,全网最花心女孩,https://i2.hdslb.com/bfs/archive/8a3ed29efdc636cdc81f48da278eef3e95813566.jpg@400w_250h_1c.webp,2.1万
就这么喜欢吗？各种搂搂抱抱还不够，现在逮着姐姐亲啊！你稍微克制一下啊哈哈哈！【二十五二十一｜金泰梨x苞娜】,https://www.bilibili.com/video/BV1KU4y1d7eQ?from=search&seid=8940341511475960939,2022-03-20,追剧上头的亚里士缺德,https://i1.hdslb.com/bfs/archive/cf9b8b3b9435442457b3bb44723a91fbfcab4b01.jpg@400w_250h_1c.webp,2.7万
